,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
4510,Mazatlán FC,Attack-RightWinger,175.0,21.0,59,0.453580902,0.0,0.071618037,0.0,0.0,0.0,0.0,3770,0,0,0,300000,300000
4514,Querétaro FC,Goalkeeper,187.0,30.0,41,0.0,0.0,0.244299674,0.0,0.0,1.392508143,0.219869707,3684,0,0,0,800000,2000000
4515,Querétaro FC,Goalkeeper,179.0,30.0,41,0.0,0.0,0.101322826,0.0,0.0,1.393188854,0.303968477,3553,0,0,2,800000,1800000
4519,Querétaro FC,Defender Centre-Back,183.0,22.0,37,0.030221625,0.0,0.181329752,0.0,0.030221625,0.0,0.0,2978,0,0,0,500000,500000
4521,Querétaro FC,Defender Left-Back,170.0,31.0,39,0.030612245,0.0,0.06122449,0.0,0.0,0.0,0.0,2940,0,0,1,600000,800000
4522,Querétaro FC,Defender Right-Back,177.0,29.0,53,0.049086447,0.098172893,0.22088901,0.0,0.0,0.0,0.0,3667,359,47,2,800000,2000000
4523,Querétaro FC,Defender Right-Back,173.0,34.0,57,0.0,0.041647385,0.312355391,0.020823693,0.0,0.0,0.0,4322,0,0,0,700000,1500000
4525,Querétaro FC,midfield-DefensiveMidfield,181.0,26.0,50,0.0,0.022664316,0.18131453,0.0,0.022664316,0.0,0.0,3971,0,0,0,1000000,2000000
4526,Querétaro FC,midfield-DefensiveMidfield,177.0,29.0,57,0.065359477,0.043572985,0.217864924,0.0,0.0,0.0,0.0,4131,0,0,1,800000,1000000
4527,Querétaro FC,midfield-DefensiveMidfield,172.0,33.0,51,0.0,0.0,0.272314675,0.0,0.0,0.0,0.0,3305,0,0,2,600000,3500000
4528,Querétaro FC,midfield-CentralMidfield,185.0,27.0,61,0.039370079,0.019685039,0.334645669,0.0,0.0,0.0,0.0,4572,0,0,0,1500000,2500000
4529,Querétaro FC,midfield-CentralMidfield,173.0,21.0,43,0.142970612,0.0,0.214455917,0.0,0.0,0.0,0.0,2518,0,0,0,700000,700000
4534,Querétaro FC,Attack-RightWinger,179.0,32.0,56,0.251141553,0.091324201,0.091324201,0.0,0.0,0.0,0.0,3942,0,0,1,1000000,1500000
4535,Querétaro FC,Attack-RightWinger,175.0,35.0,68,0.081803308,0.163606617,0.130885294,0.0,0.0,0.0,0.0,5501,183,26,6,800000,3500000
4537,Querétaro FC,Attack Centre-Forward,182.0,28.0,69,0.433464146,0.112379593,0.144488049,0.0,0.0,0.0,0.0,5606,0,0,0,800000,800000
4538,Querétaro FC,Attack Centre-Forward,184.0,25.0,41,0.343642612,0.240549828,0.137457045,0.0,0.0,0.0,0.0,2619,0,0,2,500000,500000
4541,CF América,Goalkeeper,182.0,26.0,62,0.0,0.0,0.164293538,0.0,0.016429354,1.199342826,0.295728368,5478,49,7,0,3500000,3500000
4542,CF América,Goalkeeper,183.0,34.0,30,0.0,0.0,0.133333333,0.0,0.0,0.933333333,0.4,2700,0,0,3,400000,800000
4543,CF América,Defender Centre-Back,180.0,23.0,74,0.086774867,0.0,0.260324602,0.0,0.028924956,0.0,0.0,6223,0,0,0,4500000,4500000
4544,CF América,Defender Centre-Back,180.0,23.0,58,0.037006579,0.018503289,0.129523026,0.018503289,0.0,0.0,0.0,4864,100,11,0,4000000,6000000
4545,CF América,Defender Centre-Back,188.0,31.0,63,0.0,0.037251656,0.149006623,0.0,0.0,0.0,0.0,4832,51,9,7,2500000,9000000
4546,CF América,Defender Left-Back,172.0,25.0,65,0.137021061,0.114184217,0.114184217,0.0,0.0,0.0,0.0,3941,0,0,0,3500000,3500000
4547,CF América,Defender Left-Back,174.0,36.0,64,0.0,0.057840617,0.077120823,0.0,0.0,0.0,0.0,4668,0,0,3,600000,2000000
4548,CF América,Defender Right-Back,183.0,21.0,54,0.042372881,0.084745763,0.127118644,0.0,0.021186441,0.0,0.0,4248,0,0,1,3500000,3500000
